City,Country,Date,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
Takhli,TH,1554040644,0,43,15.26,100.34,88.0,12.91
Krasnogvardeyets,RU,1554040898,0,36,46.16,39.17,58.05,14.81
Tinskoy,RU,1554040899,76,92,56.15,96.92,33.48,2.39
Ous,RU,1554040899,0,65,60.91,61.52,32.85,9.66
Ponta do Sol,BR,1554040899,0,65,-20.63,-46.0,79.65,6.64
Salinopolis,BR,1554040900,92,100,-0.61,-47.36,76.5,8.88
Mayo,CA,1554037200,20,79,63.59,-135.9,23.0,2.24
Rocha,UY,1554040901,0,92,-34.48,-54.34,76.14,3.96
Nabire,ID,1554040901,48,94,-3.36,135.5,68.04,1.61
Gat,SN,1554039000,0,47,14.69,-16.54,80.6,18.34
Lompoc,US,1554040612,1,62,34.64,-120.46,59.0,5.82
Dmitriyevka,GE,1554040902,0,70,43.08,41.0,47.7,0.72
Qaanaaq,GL,1554040662,20,77,77.48,-69.36,-4.5,7.2
Touros,BR,1554037200,90,100,-5.2,-35.46,77.0,3.36
Afzalpur,IN,1554040903,0,35,17.2,76.36,84.15,7.54
Bambous Virieux,MU,1554040743,75,66,-20.34,57.76,84.2,9.17
Lebu,ET,1554040904,88,27,8.96,38.73,73.8,4.63
Vaini,IN,1554037200,20,74,15.34,74.49,82.4,9.17
Dikson,RU,1554040777,88,92,73.51,80.55,30.87,18.16
Mehamn,NO,1554040905,88,90,71.03,27.85,31.05,21.07
Tecoanapa,MX,1554036300,20,88,16.99,-99.26,68.0,3.96
Warrington,GB,1554040866,75,57,53.39,-2.59,55.0,10.29
New Norfolk,AU,1554040814,75,53,-42.78,147.06,51.8,10.29
Ushuaia,AR,1554037200,75,81,-54.81,-68.31,48.2,15.03
Ostersund,SE,1554040313,40,64,63.18,14.64,36.0,20.8
Constitucion,MX,1554040815,90,46,23.99,-104.67,57.0,3.36
Puerto Ayora,EC,1554040900,20,78,-0.74,-90.35,79.0,6.93
Pevek,RU,1554040908,0,58,69.7,170.27,-6.3,6.64
Atuona,PF,1554040908,68,100,-9.8,-139.03,81.72,14.25
Yerbogachen,RU,1554040908,64,65,61.28,108.01,28.62,7.43
Inhambane,MZ,1554037200,20,48,-23.87,35.38,84.2,4.7
Mahebourg,MU,1554040743,75,66,-20.41,57.7,84.2,9.17
Iqaluit,CA,1554040322,75,77,63.75,-68.52,6.01,5.82
Emerald,AU,1554040569,0,56,-23.53,148.16,68.0,11.41
Hamilton,CA,1554040706,75,92,43.26,-79.87,35.01,11.41
Wyndham,GB,1554040839,90,76,51.61,-3.54,55.4,17.22
Kruisfontein,ZA,1554040911,0,77,-34.0,24.73,63.81,5.75
Ixtapa,MX,1554040522,5,100,20.71,-105.21,66.99,1.39
Nikolskoye,RU,1554040853,75,80,59.7,30.79,44.01,15.66
Sitka,US,1554040822,0,88,37.17,-99.65,27.0,1.01
Mar del Plata,AR,1554040912,0,40,-46.43,-67.52,69.57,8.99
Sampit,ID,1554040912,80,94,-2.54,112.95,76.95,2.73
Chokurdakh,RU,1554040913,80,81,70.62,147.9,15.3,3.62
Hithadhoo,MV,1554040913,36,100,-0.6,73.08,84.24,8.32
Hilo,US,1554040654,20,82,19.71,-155.08,66.2,3.36
Turukhansk,RU,1554040660,88,95,65.8,87.96,32.13,13.8
Raudeberg,NO,1554040809,88,48,61.99,5.14,41.0,12.75
Padra,IN,1554039000,0,23,22.24,73.09,98.6,4.7
Santa Marta,CO,1554040488,40,83,11.24,-74.21,88.0,4.7
Dunedin,NZ,1554040840,92,72,-45.87,170.5,64.99,17.0
Vagur,FO,1554040915,76,95,61.47,-6.81,46.17,26.89
Narsaq,GL,1554036600,20,48,60.91,-46.05,17.6,9.17
Haines Junction,CA,1554040916,0,71,60.75,-137.51,10.53,1.95
Great Yarmouth,GB,1554040868,40,57,52.61,1.73,54.0,13.87
Tuatapere,NZ,1554040206,0,68,-46.13,167.69,66.0,8.01
Kushima,JP,1554040345,32,60,31.5,131.29,42.01,8.01
Guerrero Negro,MX,1554040917,0,91,27.97,-114.04,59.31,6.53
Preston,GB,1554040685,75,53,53.76,-2.71,55.0,12.75
Rathkeale,IE,1554039000,75,50,52.52,-8.94,51.8,6.93
Luderitz,NA,1554040918,12,80,-26.65,15.16,67.77,20.62
Hermanus,ZA,1554039978,88,63,-34.42,19.24,69.01,10.0
Esperance,TT,1554040819,20,66,10.24,-61.45,84.99,14.99
Jamestown,AU,1554040705,20,87,-33.21,138.6,46.8,3.62
Skegness,GB,1554040903,40,57,53.14,0.34,52.0,14.99
Honningsvag,NO,1554040920,32,94,70.98,25.97,32.94,21.85
Bredasdorp,ZA,1554039978,92,43,-34.53,20.04,73.4,12.75
Lyskovo,RU,1554040920,0,85,56.03,45.04,39.78,15.82
Barrow,AR,1554040921,0,54,-38.31,-60.23,76.95,5.64
Kodiak,US,1554040919,1,46,39.95,-94.76,32.0,5.82
Lavrentiya,RU,1554040922,24,81,65.58,-170.99,19.8,6.2
Tiksi,RU,1554040922,76,75,71.64,128.87,19.62,6.53
Cabo San Lucas,MX,1554040869,5,56,22.89,-109.91,70.0,3.36
Methoni,GR,1554040833,40,42,36.82,21.7,63.0,23.09
Ormara,PK,1554040923,0,61,25.21,64.64,80.46,15.7
Butaritari,KI,1554040923,88,100,3.07,172.79,81.63,13.91
Nzega,TZ,1554040924,24,99,-4.22,33.19,70.92,2.73
Bethel,US,1554036960,1,92,60.79,-161.76,28.4,5.82
Masuguru,MZ,1554040925,32,64,-11.38,38.46,86.22,4.52
Atambua,ID,1554040925,0,100,-9.11,124.89,77.58,3.74
Avarua,CK,1554039000,92,94,-21.21,-159.78,75.2,10.29
Kysyl-Syr,RU,1554040926,0,64,63.9,122.77,10.89,2.39
Bowen,AU,1554040879,90,83,-20.01,148.25,78.01,5.82
Dalbandin,PK,1554040927,0,26,28.9,64.41,70.38,7.09
Nikologory,RU,1554040927,0,80,56.14,41.99,40.95,16.49
Bomi,SL,1554040927,12,54,7.25,-11.53,93.78,4.18
Tuktoyaktuk,CA,1554038880,90,100,69.44,-133.03,30.2,23.04
Buchanan,LR,1554037200,75,70,5.88,-10.05,89.6,3.36
Vila Franca do Campo,PT,1554040901,40,62,37.72,-25.43,59.0,17.22
Bluff,AU,1554040830,0,57,-23.58,149.07,58.05,10.22
Udachnyy,RU,1554040929,48,70,66.42,112.4,27.45,6.42
Ferrol,ES,1554040917,20,67,43.48,-8.23,64.0,8.05
Bridlington,GB,1554040684,40,57,54.08,-0.19,52.0,14.99
Ulladulla,AU,1554040855,75,62,-35.36,150.48,57.99,12.75
Asuncion Nochixtlan,MX,1554040930,44,79,17.47,-97.23,60.75,3.06
Tigil,RU,1554040931,36,84,57.8,158.67,23.76,8.32
Salalah,OM,1554036600,20,65,17.01,54.1,82.4,10.29
Egvekinot,RU,1554040932,88,85,66.32,-179.17,21.87,2.39
Thompson,CA,1554037200,75,68,55.74,-97.86,24.8,12.75
Pochutla,MX,1554036300,40,78,15.74,-96.47,73.4,2.95
Luanda,AO,1554037200,40,74,-8.83,13.24,86.0,9.17
Upernavik,GL,1554040933,36,100,72.79,-56.15,10.08,12.68
Hasaki,JP,1554040475,20,70,35.73,140.83,44.6,8.05
Ankang,CN,1554040934,8,71,32.73,108.99,36.18,1.72
Port Alfred,ZA,1554040934,92,82,-33.59,26.89,70.83,3.62
Mingyue,CN,1554040935,76,61,43.11,128.91,14.85,3.4
Chuy,UY,1554040935,0,100,-33.69,-53.46,75.6,5.64
Partyzany,UA,1554040936,0,76,45.14,35.15,52.02,12.46
Kermanshah,IR,1554039000,90,71,34.32,47.07,53.6,18.34
Yar-Sale,RU,1554040936,80,88,66.83,70.83,29.52,18.05
Mandera,ET,1554040852,24,11,3.94,41.86,93.99,3.0
Fomboni,KM,1554040937,80,100,-12.28,43.74,84.96,10.89
Saint George,GR,1554040403,20,30,39.45,22.34,66.99,8.05
Goderich,CA,1554040872,88,90,43.74,-81.71,28.99,22.41
Slatina,HR,1554038100,0,28,45.7,17.7,69.8,2.24
Ribeira Grande,PT,1554039000,75,54,38.52,-28.7,57.2,14.99
Atar,MR,1554040939,0,51,20.52,-13.05,77.04,8.21
Kincardine,GB,1554040934,20,61,56.07,-3.72,53.01,10.29
Castro,CL,1554037200,90,100,-42.48,-73.76,51.8,2.24
Agadez,NE,1554037200,0,11,16.97,7.99,98.6,23.04
Marstal,DK,1554040841,0,45,54.86,10.52,50.0,12.75
Port Hardy,CA,1554037200,90,100,50.7,-127.42,39.2,3.36
Zhezkazgan,KZ,1554039000,90,62,47.8,67.71,55.4,2.24
Namibe,AO,1554037200,40,58,-15.19,12.15,86.0,11.41
East London,ZA,1554037200,40,73,-33.02,27.91,73.4,10.29
Chau Doc,VN,1554040942,76,100,10.71,105.12,74.97,3.85
Georgetown,GY,1554037200,40,79,6.8,-58.16,86.0,13.87
Henties Bay,NA,1554040927,44,66,-22.12,14.28,77.0,11.99
Kars,TR,1554039000,75,69,40.61,43.1,35.6,18.34
Nanortalik,GL,1554040944,20,100,60.14,-45.24,26.37,28.79
Oistins,BB,1554037200,40,66,13.07,-59.53,84.2,17.22
Tourlaville,FR,1554040859,90,93,49.64,-1.57,59.0,19.46
Masyaf,SY,1554037200,75,82,35.06,36.34,59.0,11.41
Huaihua,CN,1554040945,44,96,27.56,109.96,48.6,3.4
Longyearbyen,NO,1554038400,20,65,78.22,15.63,6.8,2.24
Srednekolymsk,RU,1554040946,0,68,67.46,153.71,-1.26,2.62
Vila Velha,BR,1554040695,75,74,-3.71,-38.6,84.2,2.24
Acapulco,MX,1554036300,20,88,16.86,-99.88,68.0,3.06
Ust-Nera,RU,1554040947,0,34,64.57,143.24,-11.79,1.95
Los Llanos de Aridane,ES,1554040819,75,64,28.66,-17.92,68.0,8.05
Westport,IE,1554040924,75,61,53.8,-9.52,52.0,8.05
Binidayan,PH,1554040948,0,87,7.79,124.17,61.02,2.95
Vorsma,RU,1554039000,0,43,55.99,43.28,55.4,13.42
Coihaique,CL,1554037200,0,66,-45.58,-72.07,53.6,24.16
Shar,NG,1554040949,0,47,7.3,8.73,97.38,5.97
San Cristobal,EC,1554040896,75,87,-0.39,-78.55,57.2,3.36
Abay,KZ,1554039000,75,87,49.63,72.87,46.4,6.71
Chakrata,IN,1554040950,0,49,30.7,77.87,58.05,2.73
Boende,CD,1554040951,36,58,-0.28,20.88,91.08,2.84
Bani Walid,LY,1554040951,56,28,31.76,14.0,66.24,6.2
Mount Gambier,AU,1554037200,40,93,-37.83,140.78,46.4,4.7
Chara,GR,1554040403,20,30,39.42,22.43,66.99,8.05
Dubrovnik,HR,1554040800,0,48,42.65,18.09,68.0,8.05
Okhotsk,RU,1554040953,0,84,59.36,143.24,20.88,5.19
Coromandel,NZ,1554040810,92,83,-36.76,175.5,70.0,12.75
Ternate,PH,1554040871,40,65,14.29,120.72,82.99,11.41
Bubaque,GW,1554040954,0,70,11.28,-15.83,91.08,10.45
Dongsheng,CN,1554040660,80,78,29.72,112.52,52.74,2.84
Port Elizabeth,US,1554040953,40,72,39.31,-74.98,64.99,10.29
Somerset East,ZA,1554040955,92,35,-32.72,25.59,79.38,7.54
Aykino,RU,1554040955,44,80,62.22,49.99,29.43,9.22
Limoges,FR,1554040811,0,30,45.84,1.26,70.0,11.41
Tucuman,PE,1554040956,8,70,-17.17,-70.89,69.48,3.74
Zhigansk,RU,1554040957,48,84,66.77,123.37,14.4,4.18
Alofi,NU,1554037200,68,94,-19.06,-169.92,77.0,3.36
Geraldton,CA,1554037200,5,65,49.72,-86.95,8.6,3.36
Cidreira,BR,1554040957,12,78,-30.17,-50.22,82.35,2.84
Nizhniy Tsasuchey,RU,1554040958,12,59,50.52,115.13,17.64,3.18
Witu,KE,1554036960,1,58,-2.39,40.44,87.8,8.05
Makakilo City,US,1554040502,1,82,21.35,-158.09,66.2,3.36
Chimoio,MZ,1554037200,40,57,-19.11,33.48,80.6,6.93
Marsaxlokk,MT,1554040923,20,39,35.84,14.54,64.4,8.05
Burns Lake,CA,1554040959,8,76,54.23,-125.76,23.13,2.17
Tasiilaq,GL,1554036600,56,85,65.61,-37.64,24.8,32.21
Sobolevo,RU,1554040960,80,66,54.43,31.9,54.0,19.51
Hervey Bay,AU,1554040844,0,82,-25.3,152.85,66.99,5.82
Graham,US,1554040957,75,87,36.07,-79.4,63.0,6.93
Pontianak,ID,1554039000,40,88,-0.02,109.34,80.6,4.41
Camacha,PT,1554039000,75,63,33.08,-16.33,64.4,16.11
Vostok,RU,1554040962,80,74,46.45,135.83,22.41,1.95
Adrar,DZ,1554037200,40,32,27.87,-0.29,82.4,23.04
LaPlace,US,1554040961,90,81,30.07,-90.48,52.0,11.41
Marabba,SD,1554040963,0,14,12.35,32.18,96.66,9.44
Tshikapa,CD,1554040963,8,64,-6.42,20.79,86.76,2.06
Khani,GE,1554039000,75,55,41.96,42.96,59.0,36.91
Caravelas,BR,1554040964,0,98,-17.73,-39.27,81.81,15.37
Saint Anthony,US,1554036960,1,79,43.97,-111.68,24.8,3.36
Musoma,TZ,1554040964,0,92,-1.5,33.81,76.59,4.29
Carnarvon,ZA,1554040965,88,30,-30.97,22.13,75.87,17.94
Havoysund,NO,1554038400,75,93,71.0,24.66,32.0,41.38
Palmas Bellas,PA,1554040950,20,74,9.23,-80.09,84.0,5.82
Russell,AR,1554037200,0,53,-33.01,-68.8,73.4,4.7
Casper,US,1554040805,1,85,42.87,-106.31,32.0,8.05
Victoria,BN,1554039000,75,78,5.28,115.24,84.2,3.36
Bandarbeyla,SO,1554040967,12,100,9.49,50.81,80.01,7.65
Aguimes,ES,1554040832,75,64,27.91,-15.45,68.0,11.41
Nyirkarasz,HU,1554039000,0,20,48.1,22.1,68.0,2.24
Catemaco,MX,1554039952,5,88,18.42,-95.11,73.4,5.41
Kerema,PG,1554040968,44,97,-7.96,145.78,72.27,1.95
Boke,GN,1554040969,0,25,10.95,-14.28,104.22,8.99
Bintulu,MY,1554037200,75,88,3.17,113.03,80.6,4.07
Kavieng,PG,1554040970,92,100,-2.57,150.8,80.82,7.87
Millinocket,US,1554040803,90,87,45.66,-68.71,50.0,9.17
Imeni Poliny Osipenko,RU,1554040970,36,67,52.42,136.49,15.84,6.42
Vestmannaeyjar,IS,1554037200,90,93,63.44,-20.27,41.0,23.04
Kavaratti,IN,1554040962,0,100,10.57,72.64,83.97,7.99
Orsha,BY,1554037200,75,54,54.51,30.43,59.0,17.9
Djibo,BF,1554040972,0,20,14.1,-1.63,106.92,4.74
Songkhla,TH,1554039000,75,83,7.2,100.6,78.8,2.95
Gulariya,IN,1554040973,8,20,28.2,81.35,78.12,6.42
Pangobilian,PH,1554040973,0,93,8.8,117.86,77.58,5.41
Svirsk,RU,1554040974,76,76,53.07,103.34,32.76,2.51
Tomatlan,MX,1554040975,0,74,19.93,-105.25,71.28,3.29
Hirara,JP,1554040976,88,100,24.8,125.28,68.94,21.07
Frutal,BR,1554040976,0,65,-20.02,-48.93,86.22,4.18
Ugoofaaru,MV,1554040977,0,100,5.67,73.0,85.32,0.83
Netivot,IL,1554040877,88,74,31.42,34.59,61.0,1.99
Cap Malheureux,MU,1554040743,75,66,-19.98,57.61,84.2,9.17
Saint-Michel-des-Saints,CA,1554040333,92,9,46.68,-73.92,36.0,3.0
Shambu,ET,1554040978,36,41,9.57,37.1,75.33,3.18
Kalispell,US,1554040673,90,86,48.2,-114.32,32.0,2.06
Antofagasta,CL,1554037200,20,77,-23.65,-70.4,64.4,9.17
Ostrovnoy,RU,1554040979,12,86,68.05,39.51,28.17,14.25
Ust-Ilimsk,RU,1554040979,44,88,57.96,102.73,31.86,4.97
Vavoua,CI,1554040980,8,47,7.38,-6.48,95.58,2.84
Severo-Kurilsk,RU,1554040980,56,100,50.68,156.12,27.54,4.85
Canavieiras,BR,1554040980,92,83,-15.68,-38.95,81.0,6.76
Fort Morgan,US,1554040625,0,92,40.25,-103.8,30.0,6.93
Exu,BR,1554037200,75,74,-7.52,-39.72,80.6,7.43
Ahome,MX,1554040696,0,79,25.92,-109.18,63.0,9.1
Nioro,GM,1554040982,80,37,13.79,-15.05,92.52,8.55
Anadyr,RU,1554040946,75,93,64.73,177.51,32.0,17.9
Luziania,BR,1554037200,20,69,-16.25,-47.95,75.2,8.05
Bakchar,RU,1554040983,92,96,57.02,82.07,36.45,8.88
Vardo,US,1554040869,90,62,39.62,-77.74,52.0,13.87
Souillac,FR,1554040962,0,28,45.6,-0.6,71.01,8.05
Brae,GB,1554038400,92,60,60.4,-1.35,44.6,23.04
Kawalu,ID,1554040984,80,97,-7.38,108.21,69.39,1.28
Karla,EE,1554040927,75,87,59.37,24.93,35.01,11.41
Plettenberg Bay,ZA,1554040985,80,100,-34.05,23.37,65.97,7.76
Taoudenni,ML,1554040985,44,50,22.68,-3.98,80.55,12.24
Bonavista,CA,1554040856,88,87,48.65,-53.11,35.01,1.01
San Matias,HN,1554037200,40,87,13.97,-86.63,57.2,2.95
Antalaha,MG,1554040986,20,85,-14.9,50.28,81.99,4.74
Venado,MX,1554040987,76,85,22.93,-101.09,59.76,6.64
Kaitangata,NZ,1554040884,88,69,-46.28,169.85,64.0,8.01
Touho,NC,1554040987,48,88,-20.78,165.23,72.27,3.06
Inowroclaw,PL,1554040681,0,40,52.8,18.26,52.0,18.34
Barstow,US,1554040948,1,55,31.46,-103.39,39.99,6.93
Chiredzi,ZW,1554040988,36,55,-21.05,31.67,83.79,6.98
North Vanlaiphai,IN,1554040989,36,73,23.13,93.07,69.12,2.84
Kirkenes,NO,1554038400,40,68,69.73,30.05,30.2,27.51
Hobyo,SO,1554040989,8,74,5.35,48.53,82.8,12.35
Sanvordem,IN,1554037200,40,74,15.27,74.12,84.2,6.93
Lazaro Cardenas,MX,1554040616,0,45,28.39,-105.62,50.0,12.57
Creel,MX,1554040982,12,62,27.75,-107.63,47.97,3.29
Rio Grande,BR,1554037200,0,73,-32.03,-52.1,77.0,3.36
Lagos,NG,1554037200,75,67,6.46,3.39,93.2,8.05
Cherskiy,RU,1554040991,0,33,68.75,161.3,-8.55,1.95
Erenhot,CN,1554040992,48,59,43.65,111.97,22.68,3.96
Baykit,RU,1554040707,80,91,61.68,96.39,32.94,6.98
Severo-Yeniseyskiy,RU,1554040992,68,85,60.37,93.04,35.64,7.65
San Juan,PH,1554040871,40,65,14.6,121.03,82.99,11.41
Talnakh,RU,1554040994,88,90,69.49,88.39,31.05,16.71
Gambela,ET,1554040994,44,37,8.25,34.59,84.42,4.97
Khatanga,RU,1554040995,76,87,71.98,102.47,30.15,16.82
Nuuk,GL,1554040920,40,49,64.17,-51.74,24.01,10.29
Kamenka,RU,1554040996,56,88,53.19,44.05,35.37,11.68
Tilichiki,RU,1554040706,88,90,60.47,166.1,29.97,10.78
Hanmer Springs,NZ,1554040996,92,57,-42.52,172.83,65.52,15.14
Walsall,GB,1554040992,20,53,52.58,-1.98,55.0,14.99
Vossevangen,NO,1554040914,80,75,60.63,6.42,36.0,1.01
Kirkwood,ZA,1554037200,75,60,-33.4,25.44,71.6,8.05
Road Town,VG,1554040800,20,69,18.42,-64.62,82.4,4.7
Makubetsu,JP,1554040998,20,97,42.84,143.34,20.43,2.95
Kinablangan,PH,1554040998,100,100,7.69,126.55,77.22,12.35
Juneau,US,1554036960,40,92,58.3,-134.42,28.4,2.73
Ust-Ishim,RU,1554040998,56,85,57.69,71.17,31.68,11.23
Robe,ET,1554040999,20,32,7.12,40.01,73.08,7.76
Svetlaya,RU,1554040999,20,100,46.54,138.33,25.47,1.83
Sharjah,AE,1554037200,0,26,25.36,55.39,93.2,16.11
Yankton,US,1554040560,1,68,42.87,-97.4,28.4,11.41
Castelo do Piaui,BR,1554040771,76,98,-5.32,-41.55,79.02,1.39
Tual,ID,1554041000,80,100,-5.67,132.75,82.44,10.0
Emmett,US,1554040990,1,73,43.87,-116.5,39.0,2.28
Ambilobe,MG,1554041001,36,100,-13.19,49.05,73.8,1.72
Bukama,CD,1554041001,12,43,-9.2,25.85,91.8,4.41
Berwick,US,1554041000,90,76,41.06,-76.25,53.6,8.05
Gavle,SE,1554040334,0,29,60.67,17.14,46.0,10.0
Sassandra,CI,1554041003,12,94,4.95,-6.09,85.14,13.13
Birobidzhan,RU,1554041003,0,68,48.79,132.93,19.08,2.95
Norfolk,US,1554040924,1,63,36.85,-76.29,70.0,13.87
Pangai,TO,1554041004,92,100,-19.8,-174.35,75.87,7.99
Sale,GB,1554041001,90,50,53.42,-2.32,55.0,9.17
Misawa,JP,1554040808,75,100,40.75,141.38,32.0,3.36
Port Blair,IN,1554041005,0,100,11.67,92.75,84.78,5.41
Katherine,AU,1554039000,0,73,-14.47,132.26,77.0,9.22
Awbari,LY,1554041006,68,24,26.59,12.77,77.22,4.41
Gamba,CN,1554041006,12,76,28.28,88.52,9.45,5.41
Puerto Carreno,CO,1554037200,75,78,6.19,-67.49,82.4,2.62
Shaowu,CN,1554041007,100,100,27.34,117.49,52.2,1.72
Ustka,PL,1554041007,0,75,54.58,16.86,43.47,18.05
Menongue,AO,1554041007,12,19,-14.66,17.68,89.28,3.62
Baruun-Urt,MN,1554041008,0,60,46.68,113.28,16.11,4.41
Maun,BW,1554037200,75,30,-19.99,23.42,93.2,2.24
Isangel,VU,1554040815,68,100,-19.55,169.27,79.2,11.45
Bereda,ES,1554041008,20,72,43.27,-7.54,62.01,9.17
Ngunguru,NZ,1554040985,92,95,-35.62,174.5,66.99,19.73
Sabha,LY,1554041009,0,41,27.03,14.43,72.0,4.63
Labuhan,ID,1554041010,32,93,-2.54,115.51,73.89,1.83
Monster,NL,1554041008,75,62,52.03,4.17,57.0,14.99
Khunti,IN,1554039000,75,33,23.08,85.28,87.8,3.36
Jumla,NP,1554041011,0,83,29.28,82.18,29.7,2.62
Waipawa,NZ,1554039795,92,86,-39.94,176.59,61.0,5.99
Berdigestyakh,RU,1554040976,0,69,62.1,126.7,9.09,2.17
Mega,ET,1554041012,0,27,4.06,38.32,83.61,9.55
Pozo Colorado,PY,1554041012,56,69,-23.49,-58.8,90.63,9.89
Poum,MK,1554039000,0,21,41.28,20.71,60.8,8.05
Dedza,MW,1554041013,56,66,-14.38,34.33,73.98,4.85
Samana,EC,1554037200,90,100,0.12,-76.97,75.2,3.36
Gumdag,TM,1554041014,56,72,39.2,54.59,47.07,16.04
Hakodate,JP,1554040826,44,100,41.8,140.75,31.32,4.74
Detmold,DE,1554040880,0,71,51.94,8.88,53.01,10.29
Belle Glade,US,1554040810,90,78,26.68,-80.67,78.01,4.85
Sumter,US,1554040840,40,72,33.92,-80.34,66.2,11.41
Alta Floresta,BR,1554041015,12,78,-9.87,-56.08,83.88,1.39
Burnie,AU,1554040984,0,70,-41.05,145.91,46.99,14.36
The Valley,AI,1554040804,40,65,18.22,-63.06,84.0,5.82
Astaneh-ye Ashrafiyeh,IR,1554039000,90,87,37.26,49.94,46.4,4.7
Saint-Francois,FR,1554040891,0,34,46.42,3.91,68.0,8.05
Qandala,SO,1554041016,0,54,11.47,49.87,81.36,2.73
Grand-Santi,GF,1554041017,0,60,4.27,-54.38,87.57,2.95
Petropavlovsk-Kamchatskiy,RU,1554037200,8,85,53.05,158.65,23.0,4.47
Cartagena,ES,1554040968,90,100,37.63,-1.0,55.4,19.46
Nongstoin,IN,1554041018,92,99,25.52,91.27,62.19,1.28
Gizo,IL,1554040989,75,76,31.8,34.94,61.0,8.05
Ferme-Neuve,CA,1554041018,92,77,46.7,-75.45,28.98,10.22
Buraydah,SA,1554037200,75,54,26.33,43.97,84.2,11.41
Hambantota,LK,1554037800,20,83,6.12,81.12,84.2,8.05
Naisud,PH,1554041019,0,97,11.81,122.19,81.18,18.5
Beringovskiy,RU,1554041020,80,92,63.05,179.32,32.4,10.22
Ucluelet,CA,1554040565,90,100,48.94,-125.55,42.01,3.36
Elko,US,1554040805,1,79,40.83,-115.76,28.0,3.36
Krasnyy,RU,1554041021,64,88,53.81,40.7,39.78,11.23
Rock Springs,US,1554036840,1,85,41.59,-109.2,17.6,4.7
Cacequi,BR,1554041021,68,73,-29.88,-54.83,81.0,5.97
Petatlan,MX,1554037140,20,88,17.52,-101.27,64.4,1.72
Catacocha,EC,1554037200,20,100,-4.05,-79.65,62.6,2.24
Horconcitos,PA,1554041022,0,56,8.47,-81.8,81.72,2.73
Yaan,NG,1554041023,0,52,7.38,8.57,96.75,5.19
Fortuna,ES,1554041023,75,93,38.18,-1.13,60.01,2.24
Filingue,NE,1554041023,0,15,14.35,3.32,107.1,13.13
Bodden Town,KY,1554040804,75,83,19.28,-81.25,82.0,11.41
Turiacu,BR,1554041024,64,77,-5.01,-63.0,86.4,3.96
Doha,QA,1554039000,0,61,25.29,51.53,84.2,18.34
Klaksvik,FO,1554038400,92,81,62.23,-6.59,42.8,11.41
